University,Full-time employment,Median annual full-time salaries ($),Citizenship Status
Australian Catholic University,"67.0 (64.7, 69.1)","68,900 (68,000, 69,800)",International
Central Queensland University,"60.0 (51.3, 68.0)","66,100 (58,400, 73,800)",International
Charles Darwin University,"65.4 (61.0, 69.5)","63,900 (59,900, 67,900)",International
Charles Sturt University,"62.3 (54.5, 69.4)","59,500 (51,800, 67,200)",International
Curtin University,"61.1 (57.3, 64.8)","67,200 (64,100, 70,300)",International
Deakin University,"56.6 (54.3, 58.8)","63,200 (61,400, 65,000)",International
Edith Cowan University,"64.8 (61.5, 67.9)","71,400 (68,500, 74,300)",International
Federation University Australia,"54.1 (50.0, 58.2)","57,400 (54,200, 60,700)",International
Flinders University,"61.0 (56.8, 65.1)","67,400 (65,100, 69,700)",International
Griffith University,"57.6 (53.7, 61.4)","62,000 (59,100, 64,900)",International
James Cook University,"64.6 (57.1, 71.5)","77,200 (69,100, 85,400)",International
La Trobe University,"55.3 (50.1, 60.4)","64,900 (61,600, 68,100)",International
Macquarie University,"54.8 (51.7, 57.9)","60,000 (57,400, 62,600)",International
Monash University,"56.7 (54.8, 58.6)","65,100 (63,800, 66,300)",International
Murdoch University,"63.9 (58.8, 68.8)","64,700 (61,600, 67,800)",International
Queensland University of Technology,"53.1 (50.1, 56.0)","62,900 (60,800, 65,100)",International
RMIT University,"48.5 (46.1, 50.9)","60,000 (58,500, 61,500)",International
Southern Cross University,"56.5 (51.2, 61.7)","61,000 (55,400, 66,700)",International
Swinburne University of Technology,"42.9 (39.3, 46.5)","63,200 (60,000, 66,400)",International
The Australian National University,"51.5 (47.1, 55.9)","62,700 (55,400, 70,000)",International
The University of Adelaide,"48.7 (45.8, 51.5)","67,700 (64,000, 71,400)",International
The University of Melbourne,"49.2 (47.2, 51.3)","65,000 (63,600, 66,300)",International
The University of Queensland,"58.6 (56.1, 61.0)","66,400 (64,300, 68,600)",International
The University of South Australia,"55.4 (52.2, 58.6)","63,500 (61,900, 65,100)",International
The University of Sydney,"52.9 (50.3, 55.4)","69,400 (67,300, 71,500)",International
The University of Western Australia,"47.2 (42.9, 51.6)","60,000 (56,500, 63,500)",International
Torrens University,"60.5 (58.4, 62.6)","59,500 (57,200, 61,800)",International
University of Canberra,"58.4 (54.2, 62.5)","67,700 (63,500, 71,900)",International
University of New South Wales,"60.0 (57.1, 62.9)","65,900 (64,300, 67,500)",International
University of Newcastle,"66.2 (61.2, 70.8)","70,000 (67,600, 72,400)",International
University of Southern Queensland,"64.4 (60.2, 68.3)","65,300 (62,000, 68,700)",International
University of Tasmania,"50.2 (45.9, 54.4)","63,200 (58,500, 67,900)",International
University of Technology Sydney,"51.7 (48.9, 54.6)","62,600 (60,000, 65,200)",International
University of the Sunshine Coast,"70.5 (66.6, 74.1)","63,000 (60,100, 65,900)",International
University of Wollongong,"57.6 (52.3, 62.7)","68,100 (64,800, 71,500)",International
Victoria University,"57.4 (54.2, 60.6)","63,900 (61,800, 66,000)",International
Western Sydney University,"67.8 (65.2, 70.3)","66,100 (64,500, 67,700)",International
Torrens University,"60.5 (58.4, 62.6)","59,500 (57,200, 61,800)",International
University of Canberra,"58.4 (54.2, 62.5)","67,700 (63,500, 71,900)",International
University of New South Wales,"60.0 (57.1, 62.9)","65,900 (64,300, 67,500)",International
University of Newcastle,"66.2 (61.2, 70.8)","70,000 (67,600, 72,400)",International
University of Southern Queensland,"64.4 (60.2, 68.3)","65,300 (62,000, 68,700)",International
University of Tasmania,"50.2 (45.9, 54.4)","63,200 (58,500, 67,900)",International
University of Technology Sydney,"51.7 (48.9, 54.6)","62,600 (60,000, 65,200)",International
University of the Sunshine Coast,"70.5 (66.6, 74.1)","63,000 (60,100, 65,900)",International
University of Wollongong,"57.6 (52.3, 62.7)","68,100 (64,800, 71,500)",International
Victoria University,"57.4 (54.2, 60.6)","63,900 (61,800, 66,000)",International
Western Sydney University,"67.8 (65.2, 70.3)","66,100 (64,500, 67,700)",International
