University,Full-time employment,Median annual full-time salaries ($),Citizenship Status
Australian Catholic University,79.4,75000,Domestic
Avondale University,88.1,71000,Domestic
Bond University,76.3,73000,Domestic
Central Queensland University,83.6,81500,Domestic
Charles Darwin University,84.9,77000,Domestic
Charles Sturt University,89.1,78300,Domestic
Curtin University,80.1,76800,Domestic
Deakin University,72.8,71400,Domestic
Edith Cowan University,75.3,77300,Domestic
Federation University Australia,74.1,75700,Domestic
Flinders University,70.7,73000,Domestic
Griffith University,70.2,75000,Domestic
James Cook University,86.8,77800,Domestic
La Trobe University,74,70000,Domestic
Macquarie University,66.7,75000,Domestic
Monash University,73.2,73300,Domestic
Murdoch University,70.1,78000,Domestic
Queensland University of Technology,75.9,74000,Domestic
RMIT University,60.8,70000,Domestic
Southern Cross University,79.4,73500,Domestic
Swinburne University of Technology,74.3,77900,Domestic
The Australian National University,75.2,76000,Domestic
The University of Adelaide,75.2,72900,Domestic
The University of Melbourne,59.6,68500,Domestic
The University of Notre Dame Australia,87,73000,Domestic
The University of Queensland,79.1,75000,Domestic
The University of South Australia,76.9,72800,Domestic
The University of Sydney,74.4,75000,Domestic
The University of Western Australia,63.8,72700,Domestic
Torrens University,61.5,65000,Domestic
University of Canberra,74.7,76200,Domestic
University of New England,86.1,81600,Domestic
University of New South Wales,77.8,77300,Domestic
University of Newcastle,80.1,74900,Domestic
University of Southern Queensland,84.1,82900,Domestic
University of Tasmania,78.8,79300,Domestic
University of Technology Sydney,71.9,72900,Domestic
University of the Sunshine Coast,72.1,73200,Domestic
University of Wollongong,71.4,73100,Domestic
Victoria University,62.9,69600,Domestic
Western Sydney University,68.9,73100,Domestic
Australian Catholic University,67,"68900",International
Central Queensland University,60,"66100",International
Charles Darwin University,65.4,"63900",International
Charles Sturt University,62.3,"59500",International
Curtin University,61.1,"67200",International
Deakin University,56.6,"63200",International
Edith Cowan University,64.8,"71400",International
Federation University Australia,54.1,"57400",International
Flinders University,61,"67400",International
Griffith University,57.6,"62000",International
James Cook University,64.6,"77200",International
La Trobe University,55.3,"64900",International
Macquarie University,54.8,"60000",International
Monash University,56.7,"65100",International
Murdoch University,63.9,"64700",International
Queensland University of Technology,53.1,"62900",International
RMIT University,48.5,"60000",International
Southern Cross University,56.5,"61000",International
Swinburne University of Technology,42.9,"63200",International
The Australian National University,51.5,"62700",International
The University of Adelaide,48.7,"67700",International
The University of Melbourne,49.2,"65000",International
The University of Queensland,58.6,"66400",International
The University of South Australia,55.4,"63500",International
The University of Sydney,52.9,"69400",International
The University of Western Australia,47.2,"60000",International
Torrens University,60.5,"59500",International
University of Canberra,58.4,"67700",International
University of New South Wales,60,"65900",International
University of Newcastle,66.2,"70000",International
University of Southern Queensland,64.4,"65300",International
University of Tasmania,50.2,"63200",International
University of Technology Sydney,51.7,"62600",International
University of the Sunshine Coast,70.5,"63000",International
University of Wollongong,57.6,"68,100",International
Victoria University,57.4,"63,900",International
Western Sydney University,67.8,"66,100",International
Torrens University,60.5,"59,500",International
University of Canberra,58.4,"67,700",International
University of New South Wales,60,"65,900",International
University of Newcastle,66.2,"70,000",International
University of Southern Queensland,64.4,"65,300",International
University of Tasmania,50.2,"63,200",International
University of Technology Sydney,51.7,"62,600",International
University of the Sunshine Coast,70.5,"63,000",International
University of Wollongong,57.6,"68,100",International
Victoria University,57.4,"63,900",International
Western Sydney University,67.8,"66,100",International
