University,Full-time employment,Median annual full-time salaries ($),Citizenship Status
Australian Catholic University,67.0,"68,900",International
Central Queensland University,60.0,"66,100",International
Charles Darwin University,65.4,"63,900",International
Charles Sturt University,62.3,"59,500",International
Curtin University,61.1,"67,200",International
Deakin University,56.6,"63,200",International
Edith Cowan University,64.8,"71,400",International
Federation University Australia,54.1,"57,400",International
Flinders University,61.0,"67,400",International
Griffith University,57.6,"62,000",International
James Cook University,64.6,"77,200",International
La Trobe University,55.3,"64,900",International
Macquarie University,54.8,"60,000",International
Monash University,56.7,"65,100",International
Murdoch University,63.9,"64,700",International
Queensland University of Technology,53.1,"62,900",International
RMIT University,48.5,"60,000",International
Southern Cross University,56.5,"61,000",International
Swinburne University of Technology,42.9,"63,200",International
The Australian National University,51.5,"62,700",International
The University of Adelaide,48.7,"67,700",International
The University of Melbourne,49.2,"65,000",International
The University of Queensland,58.6,"66,400",International
The University of South Australia,55.4,"63,500",International
The University of Sydney,52.9,"69,400",International
The University of Western Australia,47.2,"60,000",International
Torrens University,60.5,"59,500",International
University of Canberra,58.4,"67,700",International
University of New South Wales,60.0,"65,900",International
University of Newcastle,66.2,"70,000",International
University of Southern Queensland,64.4,"65,300",International
University of Tasmania,50.2,"63,200",International
University of Technology Sydney,51.7,"62,600",International
University of the Sunshine Coast,70.5,"63,000",International
University of Wollongong,57.6,"68,100",International
Victoria University,57.4,"63,900",International
Western Sydney University,67.8,"66,100",International
Torrens University,60.5,"59,500",International
University of Canberra,58.4,"67,700",International
University of New South Wales,60.0,"65,900",International
University of Newcastle,66.2,"70,000",International
University of Southern Queensland,64.4,"65,300",International
University of Tasmania,50.2,"63,200",International
University of Technology Sydney,51.7,"62,600",International
University of the Sunshine Coast,70.5,"63,000",International
University of Wollongong,57.6,"68,100",International
Victoria University,57.4,"63,900",International
Western Sydney University,67.8,"66,100",International
